	1	Goods	App	Delivery	Payment	CS	Price	Marketing	AD
57	서핑 도중에 몇번이나 계속 로그아웃돼서 너무 짜증나네요ㅡㅡ	0	1	0	0	0	0	0	0
58	너무 좋아요. 티몬이랑 쿠팡 쓰다가 그냥 이제 롯데온으로 바꿨음	0	0	0	0	0	0	0	0
59	여러 어플중 롯데온이 가장 마음에 듭니다	0	0	0	0	0	0	0	0
60	다른데서 사지말고 여기서 사세요	0	0	0	0	0	0	0	0
61	참 편리하게 구입되네요~ 굿굿	1	0	0	0	0	0	0	0
62	제품구매하기가 너무 안되고 연결자체가 힘듬	1	1	0	0	0	0	0	0
63	롯데on 감사합니다	0	0	0	0	0	0	0	0
64	할인이 다양하게 되니까, 장보기 좋네요.	1	0	0	0	0	1	0	0
65	매번 잘 사용하고 있습니다	1	0	0	0	0	0	0	0
66	딱히 불편한점은 없음 감사합니다	0	0	0	0	0	0	0	0
67	쿠폰 감사합니다~	0	0	0	0	0	0	1	0
68	그닥 나쁘지 않아요	0	0	0	0	0	0	0	0
69	참...손 많이 가네	0	0	0	0	0	0	0	0
70	크롬에서 광고 누르면 해당 판매페이지로 바로 안넘어가서 아주아주아주 구립니다 아주 별로 안좋은 구린 어플입니다 광고보고 사고싶은거 보고 어플 깐건데 골탕먹은 느낌입니다 내가 이리 써봐야 바뀌는건 없겠지 이게 이나라 기업이고 관료들이고 정치인들이고 개인의 목소리에 귀를 기울여주지 않으니 바뀌는것은 아무것도 없다는 말이다 제길슨	1	1	0	0	1	0	0	1
71	조은 제품 감사합니다..	1	0	0	0	0	0	0	0
72	어플이 점점 좋아지는 거 같아서 좋아요	0	0	0	0	0	0	0	0
73	신상이 빨리 나와서 좋아요	0	0	0	0	0	0	0	0
74	불편한 거 없이 잘 쓰고 있어요~ 감사합니다.	0	0	0	0	0	0	0	0
75	롯데온 갑입니다요	0	0	0	0	0	0	0	0
76	처음이니사용해보려고합니다	1	0	0	0	0	0	0	0
77	퀵하게 보내주시네요	0	0	0	0	0	0	0	0
78	앱 자체가 쓰기 편하네요.	0	1	0	0	0	0	0	0
79	엘포인트 유용하게 사용 하고 있으요~	1	0	0	0	0	0	1	0
80	우선 온으로 바뀐후에 적응하기가 넘 어려웟으나 인간은 적응하게 되어있죠 그런데 이전에 닷컴컬러가 더 쇼핑하기에도 퀄리티에도 더 좋았던거 같아요!! 블루인가 퍼플인가 오너스도 퍼플이고 뭔가 연관되게 하면 이쁜앱이 될거같습니다	1	1	0	0	0	0	0	0
81	원래 다른 쇼핑몰에서 많이 샀었는데, 가격도 좋고 앱이 편해서 그냥 여기로 정착했어요	1	1	0	0	0	1	0	0
82	잘 사용은 하고 있지만, 개인적으로 불편한 부분이 있네요	1	0	0	0	1	0	0	0
83	물건 구매 했는데 자동 취소는 기본!!! 혜택은 줄고!!! 몇일을 같은 오류로 열받게 하고 유료 회원을 결제 해서 쓰는 이유가 1도 없네요 돈벌어서 어플이랑 전산시스템에 투자 좀 하세요	1	1	0	1	1	0	0	0
84	인터페이스에 개선할 부분이 있을 수 있겠지만, 현재 이용은 잘 하고 있습니다.	1	1	0	0	0	0	0	0
85	어느 거래소마다 불편한 점은 있지만 개선됐음 좋겠어요	0	1	0	0	0	0	0	0
86	엄마가 쓰기에 편하다고 말씀하시네용	0	0	0	0	0	0	0	0
87	편리하게 잘 쓰고 있어요~	0	0	0	0	0	0	0	0
88	넘편해요	0	0	0	0	0	0	0	0
89	나날이 발전하는 어플 입니다	0	0	0	0	0	0	0	0
90	간편하게 물건사기 좋네요.	1	0	0	0	0	0	0	0
91	쿠폰 할인 정말 갑	0	0	0	0	0	1	1	0
92	실속 있는 제품 고맙습니다	1	0	0	0	0	0	0	0
93	적응중입니다	0	0	0	0	0	0	0	0
94	무료배송이라 일단 Good	0	0	1	0	0	0	1	0
95	특가상품 때문에 구입할수밖에 없습니다	1	0	0	0	0	0	0	0
96	화장품 종류가 다른데보다 더 다양해요	1	0	0	0	0	0	0	0
97	편리하게 사용 가능~	1	0	0	0	0	0	0	0
98	상품 좋고 배송 좋고 나름 괜찮아요	1	0	1	0	0	0	0	0
99	상품이 다양하고 적당한 가격 만족합니다…	1	0	0	0	0	1	0	0
100	앱이 조잡하지 않고 깔끔해서 쇼핑하기 편해요. 결재 방법도 편리해요. 번창하세요~	0	1	0	1	0	0	0	0
101	유저들에게 제공 해주는 이벤트랑 혜택이 너무 다양합니다	1	1	0	0	0	0	1	0
102	판매자와 트러블이 있을 때마다 고객 입장에서 응대해주고, 최대한 빠르게 처리해주셔서 감사합니다.	0	0	0	0	1	0	0	0
103	제가 받을 수 있는 최대 할인 혜택이 자동으로 적용 되네요! 편리합니다.	0	1	0	0	0	1	0	0
104	예전에 앱 오류 있었는데 지금은 많이 나아졌네요! 만족합니다	0	1	0	0	0	0	0	0
105	매번 상품 누를 때 마다 품절이고, 1+1행사 상품도 재고 있는지 없는지 정확하게 기재가 안되어 있으니 소비자만 손해보내요. 도대체 이런걸로 몇번이나 손해봐야 하는지 모르겠네요. 개발자 께서는 다른 대형마트 또는 식품관련 어플좀 참고하시고 수정 하셨으면 좋겠어요. 너무 불편해서 못쓰겠어요.	1	1	0	0	1	0	1	0
106	업데이트를 왜 했는지.. 이용이 더 불편하고 늦고... 1:1문의 확인을 안하는지 며칠이 지나도 아예 답변없고, 상품 주문했는데 2주일 되도록 배송안되고 환불요청했는데.. 계속 접수중 상태이고...	1	1	1	0	1	0	0	0
107	엘포인트 적립률이 조금 더 높았음 하는 욕심이 있네요..잘 사용하고 있어요~	1	0	0	0	0	0	1	0
108	안녕하세요 고객님. 롯데닷컴입니다. 먼저, 쇼핑에 불편을 드려 죄송합니다.	0	0	0	0	1	0	0	0
109	어플사용해서 쇼핑하니깐 확실히 편하고 좋네요~ 애용할께요	1	0	0	0	0	0	0	0
110	솔직히 100% 괜찮은 건 아니지만 잘 쓰고 있습니다.	0	0	0	0	0	0	0	0
111	어플에서 백화점이랑 마트랑 다 사용 가능하네요^^ 매우 편리합니다	1	0	0	0	0	0	0	0
112	살짝 아쉬운 부분도 있긴 하지만, L포인트 적립 사용이 되는 점이 메리트가 엄청 커서 좋긴 하네요	1	0	0	0	0	0	1	0
113	지인한테 선물할일이 있었는데 롯데온에서 이번에 선물세트 득템했어요!!	0	0	0	0	0	0	0	0
114	여러 할인혜택에 엘포인트 야무져요~	0	0	0	0	0	1	1	0
115	백화점,마트 다 이용 가능해서 정말 편한거 같아요 ㅋㅋㅋ아이디어 굿	1	0	0	0	0	0	0	0
116	가성비,가심비 둘다 잡는 쇼핑몰	1	1	0	0	0	1	0	0
117	오류 없이 잘 되네요~ 잘 쓸께요.	0	1	0	0	0	0	0	0
118	필요한 것에 대해 흡족한 금액으로 구매했네요	1	0	0	0	0	0	0	0
119	잘 이용 하구 이쓰용@	1	0	0	0	0	0	0	0
120	앱 디자인이 깔끔해서 좋아요.	1	1	0	0	0	0	0	0
121	특가 상품 괜찮네요. 앞으로 많이 애용할께요.	1	0	0	0	0	0	0	0
122	알림 설정을 무음으로 설정하고 있는데 자꾸 왜 사용자 알림 설정을 소리 나오는 것으로 변경 하나요?	1	1	0	0	0	0	0	0
123	좋아요	0	0	0	0	0	0	0	0
124	인터넷 쇼핑 여기가 제일 쉽네요. 가끔은 어질어질…	0	1	0	0	0	0	0	0
125	깔끔하게 잘 정돈 된거 같아요	0	0	0	0	0	0	0	0
126	배송빨라서 좋아요	0	0	1	0	0	0	0	0
127	이벤트도 다양하니, 여기서 자주 구매 할 수 밖에 없다	1	0	0	0	0	0	1	0
128	결제 완전 편해요.	0	0	0	1	0	0	0	0
129	요즘에 장보는 거는 그냥 이걸로 시켜요. 신선하고 괜찮네요	0	0	0	0	0	0	0	0
130	여러가지 앱 다 사용해봤지만 불편한 점은 다 있기 때문에 그 점을 고려했을 때 이용할 만 합니다.	1	1	0	0	0	0	0	0
131	우리나라 메이저 거래소임은 분명한데 간혹 아쉬움은 있어요	0	0	0	0	0	0	0	0
132	편의성에서 살짝 보완이 필요할 거 같지만, 제품 품질면에서는 만족스럽습니다.	1	0	0	0	0	0	0	0
133	롯데계열 상품들 한번에 볼 수 있어서 좋아요! 이게 가장 큰 장점	1	0	0	0	0	0	0	0
134	백화점 카테고리에서 옷 샀는데 원단이 생각보다 좋아서 놀랬어요	0	1	0	0	0	0	0	0
135	찾아보면 다른데보다 더 싸게 구매할 수 있는 제품들이 많네요~	1	0	0	0	0	0	0	0
136	문의에 대한 답변이 친절하고, 빠르게 처리해주셔서 감사해요~	0	0	0	0	1	0	0	0
137	계속 오류 뜨고 구매하기 클릭해도 안넘어가고.. 암 걸릴 거 같아서 걍 타사에서 구매하렵니다..	1	1	0	0	0	0	0	0
138	물건을 많이 구매했는데 모두 만족하며 사용중에 있어요~~	1	0	0	0	0	0	0	0
139	살짝 아쉬운 부분은 있긴 하지만 이래저래 사용 중	1	0	0	0	0	0	0	0
140	빨리 해외나가면서 면세점도 이용하고 싶음~	1	0	0	0	0	0	0	0
141	전 나름 만족해서 사용하고 있네요~	1	0	0	0	0	0	0	0
142	내 삶에 일부 롯데온! 정말 편리하고좋아요	1	0	0	0	0	0	0	0
143	가성비 좋은상품 많네요	1	0	0	0	0	1	0	0
144	만족합니다	0	0	0	0	0	0	0	0
145	원하는 가격으로 좋은 옷 구매 했습니다	1	0	0	0	0	1	0	0
146	감사합니다 할인 혜택 더 주세요	0	0	0	0	0	1	0	0
147	롯데 계열에 쇼핑몰들에 상품들을 한꺼번에 주문할 수 있다는 게 장점~	1	1	0	0	0	0	0	0
148	롯데온 처음 설치 했는데 한번 써보겠습니다!	0	1	0	0	0	0	0	0
149	깔끔하게 잘 정돈 된거 같아요	0	0	0	0	0	0	0	0
150	쇼핑 맛집 롯데온	0	0	0	0	0	0	0	0
151	오늘 롯데마트 장바구니 담은것들 주문하려 하니 배송가능시간이 오늘 하루 새벽배송하나만 뜨고 다른날짜나 시간이 안떠요 어플지웠다 깔아도 그렇고 마트자체에서 배송이 안되그런건지 오늘 이상하게 그러네요 왜그런가요	1	1	1	0	0	0	0	0
152	불편한 앱	0	1	0	0	0	0	0	0
153	광고성 알람 동의 할때까지 고문수준으로 괴롭힘. 다음에 할께요 눌러도 앱쓰는동안 계속 뜸.. 쓰레기앱.	0	1	0	0	0	0	0	1
154	주변 친구들한테도 꼭 추천 하겠습니당!	0	0	0	0	0	0	0	0
155	엘포인트 너무 너무 좋아요~~~	0	0	0	0	0	0	1	0
156	사용하는 쇼핑앱 중에 최고입니다.	1	1	0	0	0	0	0	0
157	고퀄 제품이 많아서 앱쇼핑해도 후회하는 일 별로 없음	1	1	0	0	0	0	0	0
158	여기만큼 할인 좋은데 있나요?	0	0	0	0	0	1	0	0
159	타사 쇼핑앱 이용하다가 넘어왔어요~	1	1	0	0	0	0	0	0
160	품질 진짜 좋네요	1	0	0	0	0	0	0	0
161	다소 아쉬운 부분은 있지만, 단순하고 직관적인 구조라 쉽게 쇼핑 가능해서 좋아요	0	0	0	0	0	0	0	0
162	기존에 롯데닷컴으로 이용할땐 별 다른 불편사항 없이 잘 사용했으나 롯데온 으로 바뀐뒤론 쇼핑하기도 더 불편해지고 억지러 담은 장바구니도 주문하려니 카드결제도 안되네요 이건 팔아먹기도 싫다는 걸로 받아들이면 될거 같네요 더 나은 앱이 아닌 최악 중의 최악의 앱을 만들어두고 자화자찬 하고 있는 꼴이 우습네요	1	1	0	1	0	0	0	0
163	저희 엄마가 자동할인 적용되는거 너무 좋다고 하시네요! 추천합니다	0	1	0	0	0	1	0	0
164	L포인트 적립 사용이 되고, 마트, 백화점 상품을 한번에 주문할 수 있어서 만족해요	1	1	0	0	0	0	1	0
165	엄청 잘 쓰고 있습니다만, 살짝 불편한 감이 있긴 하지만, 나름 만족하면서 애용하고 있어요~	0	0	0	0	0	0	0	0
166	롯데 여러 쇼핑몰들을 한꺼번에 확인할 수 있다는 게 장점이욤	0	1	0	0	0	0	0	0
167	상담원분께서 친절하고, 빠르게 처리해주셔서 좋았어요!	0	0	0	0	1	0	0	0
168	고객님, 안녕하세요. 롯데닷컴입니다. 먼저, 쇼핑에 불편을 드려 죄송합니다. 현재 저희 롯데닷컴에서는 아이패드 가로형 화면 보기는 지원하지 않고 있습니다. 롯데닷컴 서비스 이용에 불편을 드려 다시 한번 죄송합니다. 감사합니다.	1	1	0	0	1	0	0	0
169	너무 심해요 업데이트하면 더 좋아져야하는데 이건 뭐 못쓰겠어요. 왜이렇게 느려진거예요? 위시리스트, 장바구니에 있던것들 다 사라져버리고 ㅜㅜ 보완이 필요할것 같습니다	0	1	0	0	0	0	0	0
170	처음으로 써봤는데, 앱 쓰는것도 나름 편하고,,배송도 바로 오네요.	0	1	1	0	0	0	0	0
171	신선하게 제품이 오고, 할인도 해주니 만족 안할 수가 없네요	1	0	0	0	0	1	0	0
172	앱 안에서 백화점, 마트, 슈퍼프레시, 롭스 등등 다 사용가능 참고하셔요~	1	1	0	0	0	0	0	0
173	UI 신경써서 잘 만든 것 같아서 마음에 듭니다.	0	0	0	0	0	0	0	0
174	검색한 상품목록을 눌러서 들어갔다가 뒤로 나오면 처음페이지..아니 똑같은 검색을 계속 하게 하는데..앱으로 하면 편하게 쇼핑하게 해준다면서요 너무 불편해요 이거로 뭐 살 수 있겠어요?	1	1	0	0	0	0	0	0
175	할인상품, 빠른 배송, 쿠폰 진짜 좋아요!! 무엇보다 쿠폰 자동적용이 넘 맘에 드네용	1	1	1	0	0	1	1	0
176	특가상품이 더 많으면 마니마니 살듯 싶네요^^	1	0	0	0	0	0	0	0
177	배송도 빠르고 싼 제품인데 고급지게 배송와서 넘 좋네요	1	0	1	0	0	0	0	0
178	롯데마트 리뷰 하나 적는데 한세월임 사진찍어 동영상보내 뭔 설문조사?까지 이마트는 글 리뷰 하나 적으면 200포인트를 주는데...에효...	0	0	0	0	0	0	1	0
179	하나같이 거를게 없어요 다 좋아	0	0	0	0	0	0	0	0
180	저 완전 싼 가격에 득템했어요 엘포인트도 쓸 수 있어서 좋구요	1	0	0	0	0	1	1	0
181	UI 신경써서 잘 만든 것 같아서 마음에 듭니다.	0	0	0	0	0	0	0	0
182	직관적으로 디자인되서, 엄마가 쓰기에도 문제 없네요.	1	1	0	0	0	0	0	0
183	쇼핑 앱 다 써봤는데 여기가 최고입니다~!	1	1	0	0	0	0	0	0
184	좋게 좋게 사용하고 있습니다~	1	0	0	0	0	0	0	0
185	엘포인트 너무 너무 좋아요~~~	0	0	0	0	0	0	1	0
186	웹서핑중 괜찮은 물건이 있어 클릭하면 그 상품이나오지않고 홈 화면이 나옴. 상품이름도 몰라 찾지도 못함.	1	1	0	0	0	0	0	0
187	넘넘 좋고 편해여	0	0	0	0	0	0	0	0
188	점점 좋아지는 모습이 보입니다	0	0	0	0	0	0	0	0
189	상담원분께서 친절하고, 빠르게 처리해주셔서 좋았어요!	0	0	0	0	1	0	0	0
190	이 앱 정말 좋아요! 아쉬운 부분은 있지만 접근성도 뛰어나구요~	0	1	0	0	0	0	0	0
191	어이구 시간낭비만햇네	0	0	0	0	0	0	0	0
192	어지간한 쇼핑몰 보다는 여기가 더 좋아요	0	1	0	0	0	0	0	0
193	개인적으로는 다양한 할인혜택에 L포인트 때문에 필수앱이 되버렸다	0	1	0	0	1	1	1	0
194	좋아욤~~	0	0	0	0	0	0	0	0
195	쇼핑은 1일 1회는 해줘야 직성이 풀리죠 그런 의미로 롯데온에서 삽니다ㅎㅎ	0	0	0	0	0	0	0	0
196	한 동안 사용 안 하다 롯데닷컴 앱으로 구매 하려했더니 롯데온으로 바뀌어 있는데 기능들이 다 이전 앱과는 비교가 안 되게 안 좋다 앱 유지할 돈이 없어서 하향으로 내려 앉았나?? 하는 생각이 진심으로 들었음 자꾸 먹통되고 핸폰 끄고 다시 켜야 돌아가는 일도 많고 상품도 이전보다 훨씬 다양성이 떨어진다 세일이나 행사도 타사이트보다 유용했었는데 그런 것도 이제 별볼일 없어졌고.	1	1	0	0	0	0	1	0
197	1개를 사도 무료배송이 되는데다가 할인까지 되니 1석2조네	0	0	1	0	0	1	1	0
198	마트 장보는 거랑 그냥 쇼핑이랑 다 여기서하면 될 듯, 할인 만족	0	0	0	0	0	1	0	0
199	엘페이 등록이안돼요 도대체 언제 됩니까 키패드화면이 안뜨요	0	1	0	1	0	0	0	0
200	최애입니다 ㅜㅜ	0	0	0	0	0	0	0	0
201	좋은 물건, 정확한 배송	1	0	1	0	0	0	0	0
202	좋은것들 다 모아놨네~	0	0	0	0	0	0	0	0
203	문의에 대한 답변이 친절하고, 빠르게 처리해주셔서 감사해요~	0	0	0	0	1	0	0	0
204	정확한 배송에 저렴한 물건 굳~	1	0	1	0	0	0	0	0
205	만날만날 접속 합니다 ㅎ	0	1	0	0	0	0	0	0
206	상품 퀄리티가 장난 아닙니다 ㄹㅇ	1	0	0	0	0	0	0	0
207	상품 품질 좋고 고객센터는 정말이지 감동 그 자체	1	0	0	1	1	0	0	0
208	이마트앱이랑 너무 비교되게 느리고 오류도 많다..	1	1	0	0	0	0	0	0
209	이만치 편한곳이 없다	0	0	0	0	0	0	0	0
210	여러 어플 많이 사용해봤지만, 실망시킨 적이 없어서 마음에 들어요	1	0	0	0	0	0	0	0
211	마음에 드는게 너무 많아서 고민중..	0	0	0	0	0	0	0	0
212	제품도 많고 검색하기 좋네요.	1	1	0	0	0	0	0	0
213	모바일로 구매하기 최적화 되어 있는거 같아요	1	1	0	0	0	0	0	0
214	즐기면서 쇼핑하고 있습니다.	0	0	0	0	0	0	0	0
215	좋은 제품들이 많은거 같아서 좋아용	1	0	0	0	0	0	0	0
216	핸드폰 바꾸면서 여러 앱을 깔았는데 그 중에 롯데온도 포함~만족하며 사용하고 있습니다.	1	1	0	0	0	0	0	0
217	앱에선 절대 로그인 안 되고.	0	1	0	0	0	0	0	0
218	고객님, 안녕하세요. 롯데ON입니다.	0	0	0	0	1	0	0	0
219	롯데닷컴에 비해 물품 부족하고, 속도 버벅거리고, 동일상품 가격비교도 없어지고, 윗분처럼 회원에게 공지없이 등급폐지되고.. 회원들 원성 높아지니..이제서야 사과하는 메세지 주시고.. 1:1상담 너무 형식적으로 느껴집니다. 롯데ON 이 어떤이유에서 만들어졌는지 알고싶네요.	1	1	0	0	1	1	0	0
220	필요한 걸 싸고 빠르게 살수있으니까 너무 좋아요	0	0	0	0	0	0	0	0
221	살짝 반신반의 했는데 생각했던 것 보다 어플 쓸만하고 좋아여 제품도 좋구요	1	0	0	0	0	0	0	0
222	롯데닷컴 늘 사용하던 고객으로서 불편함이 이만저만아닙니다.다시 원상복구해주셨으면 좋겠어요 오히려 타 사이트에서 검색하는 상황이에요	1	1	0	0	1	0	0	0
223	업데이트 하고 나서 접속 조차 안되길래 며칠 기다리면 나아지겠지 하고 오늘 로그인시도 bad request..ㅋㅋ ssg로 갈아탈게요! 롯데 빠이~~	0	1	0	0	0	0	0	0
224	배송이 안전하고 신속하게 잘 도착했어요~ 감사해요~	0	0	1	0	0	0	0	0
225	아니 저기요 휴대폰 번호를 기입하는 곳이 없는데 어떻게 번호를 입력하라는 겁니까? 뭐하는건지 모르겠네ㅋ 쨘? 벌써 마지막 단계에요는 무슨 똥싸고 있네	0	1	0	0	0	0	0	0
226	롯데온에서 마트랑 백화점 모두 쇼핑하다 보니 다른 어플이 필요없네요	0	0	0	0	0	0	0	0
227	저렴하게 구입할 수 있는 쇼핑앱	1	1	0	0	0	0	0	0
228	롯데온 너무 조아용 ㅎㅎㅎ	0	0	0	0	0	0	0	0
229	좋습니다요~	0	0	0	0	0	0	0	0
230	가격 저렴하고 좋아요	1	0	0	0	0	1	0	0
231	Good	0	0	0	0	0	0	0	0
232	광고에 계속 옷이 떠서 클릭했더니 설치하라고 떠서 설치했어요. 그런데 설치 후에도 그 페이지로 안넘어감^^ 괜히 깔았네요	0	1	0	0	0	0	0	1
233	가성비 오지고 지립니다	1	0	0	0	0	1	0	0
234	여러 어플 많이 사용해봤지만 제품 퀄리티는 좋네요	1	0	0	0	0	0	0	0
235	즐겨 사용하고 있습니다.	1	0	0	0	0	0	0	0
236	할인상품, 빠른 배♡ 송, 쿠폰 진짜 좋아요!! 무엇♥ 보다 쿠폰♡ 자동적용이 넘 맘에 드네용	1	1	0	0	0	1	1	0
237	마트, 백화점, 드러그스토어, 홈쇼핑, 직구를 하나의 앱, 결제, 포인트로 관리할 수 있어서 편리해요. 앞으로 호텔 같은 다른 분야에도 포인트 활용하면 더 편리할 것 같아요.	0	1	0	1	1	0	1	0
238	노티스없이 모든게 바뀌더니 너무 안좋아요ㅠ 롯데닷컴에서만 쇼핑했는데.. 판매하는 상품수도 줄어든거 같고 앱의 활용성은 더 떨어지네요... 적응하려 그냥 쓰다가 쇼핑하려 하면 사진 로딩이 너무 안돼 여기 왔더니 리뷰가 다들 똑같네요...	1	1	0	0	0	0	0	0
239	몇가지 사용 편의성만 개선한다면 완전 최고의 앱이라 생각함. 마트, 백화점 등 한번에 모두 확인이 되고..	1	1	0	0	0	0	0	0
240	장보기에서 자주 신선식품 주문하는데 한번도 배송에 문제가 생긴적이 없어서 안심하고 이용중이예요	1	1	1	0	0	0	0	0
241	15년 동안 온라인 쇼핑은 롯데닷컴만 썼어요. 지인들이 다른 사이트가 좋다고 해도, 더 저렴하다고 해도 롯데만 썼는데..... 플래티넘으로 무료배송이었는데 등급도 없어지고. 완전 엉망에 검색도 안되고 정말 대실망이네요. 하다못해 등급 유지는 했어야 하지 않나요??	1	1	1	0	0	0	1	0
242	물건을 구입했는데 구성품들 완벽하게 포장되서 배송이 왔네요 만족합니다.	1	0	1	0	0	0	0	0
243	아 진짜 너무 짜증나요,, 아이디 없어서 회원가입하라고 휴대폰 인증하라고 해서 인증번호까지 치면 회색화면만 나오고 가입이 안됨 ㅋㅋㅋ 별별방법으로 인증만 10번넘게했는데 안됩니다;; 비회원 주문하려니까 그것도 인증하라고 해서 인증하니까 인증완료만뜨고 다시 초기화면으로 돌아가고 ㅋㅋㅋㅋ 진짜 돌아버리겠어요 그냥 주문하지 말하는것같다,,ㅎㅎ	1	1	0	0	1	0	1	0
244	백화점~ 마트~ 슈퍼~ 롭스~ 하이마트~ 다 있네요!!!! 만족합니다	0	0	0	0	0	0	0	0
245	1:1 문의 대답은 그래도 빠른데 앱이 전체적으로 쓰기 불편했어요~ 그리고 앱도 앱이지만 상품 대처 능력이 너무 느리고 불친절해요ㅜ	1	1	0	0	1	0	0	0
246	매일 매일 특가상품이 업데이트가 되서 필요한 물건들을 자주 주문하는 편이예요	1	1	0	0	0	0	0	0
247	빠른배송 너무 맘에들어요 신선식품들도 잘 배송을 해주시고~ 감사해요	0	0	1	0	0	0	0	0
248	그때 그때 시간 맞춰서 쇼핑하는 재미가 있네요	0	0	0	0	0	0	0	0
249	과일 선물세트 주문했는데 멍하나 안들고, 안전하게 잘 배송해주셨어요. 감사합니다	1	1	1	0	0	0	0	0
250	불필요한 광고 금지	0	0	0	0	0	0	0	1
251	완조니 편하네용 구매하기	1	0	0	0	0	0	0	0
